"","pf_imag","pf_rating","if_imag","if_rating"
"1",-0.0253632093594133,3.1875,-0.0711290348147897,3
"2",0.0254596762581846,3.0625,-0.0252931322470864,2.9375
"3",0.00694614057174214,2.75,0.0185790498013529,1.6875
"4",0.0514520878968932,2.125,0.0224973447704336,1.8125
"5",0.0354002802665554,1.5625,-0.0103454130951121,1.8125
"6",0.0205961928295993,2.625,0.0108633606199932,2.75
"7",-0.0157785342317888,2.0625,0.0267835462559732,1.375
"8",-0.0136645014889031,2.75,-0.0371083212513446,3
"9",-0.0170347049376773,2.1875,-0.0197679531794702,2.66071428571429
"10",-0.00273536546043185,3.6875,-0.0373720475620108,3.625
"11",0.0139620569805499,2.6875,0.049932805935462,2.6875
"12",-0.0090418859708179,2.4375,0.0243521894663765,2.5
"13",0.0143436509558916,2.75,-0.0140636781181244,1
"14",0.00373756012270365,3.1875,0.0478166563224258,2.375
"15",-0.036307734840655,3.9375,0.020858322883832,3.9375
"16",0.031965876095596,2.5625,0.0158643596563056,3.1875
"17",-0.010065199379783,2.25,0.00961089757249456,2.25
"18",-0.0213407923396166,2.5625,-0.0259729516688205,1.9375
"19",0.0065214066998891,2.5,0.055910950723228,2.4375
"20",-0.041913173127347,2.5,0.00303795797850004,2.3125
"21",0.0237272065921794,2.4375,0.00370181317475549,2.3125
"22",0.000351013723586702,2.4375,-0.038351444885923,1.3125
"23",-0.00218455886852098,1.8125,0.0192664328821476,1.80357142857143
"24",0.0406112234693361,2.9375,-0.0240578867214274,2.6875
"25",0.00263850485931438,2.8125,-0.00370237569643406,2.6875
"26",0.0525300087422135,2.6875,-0.0110137799406812,1.25
"27",0.0852136543686369,2.25,-0.0394463725627479,2.4375
"28",-0.0107283212520934,2.375,-0.0286198135506147,1.4375
"29",-0.0499901609305348,2.36607142857143,-0.0192232299448549,1.375
"30",-0.0246613787293604,2,0.0225418939358959,2.4375
"31",-0.00679475132785046,2.5625,0.0085340223929331,1.875
"32",-0.00981275405241921,4,-0.00641188260520531,3.875
"33",0.00846253717557865,2.0625,0.00556139591500537,1.5
"34",-0.0772496488227743,2.5,0.0645466052611325,2.625
"35",-0.0291099839792474,2.49107142857143,-0.0318363688178719,2.375
"36",0.0176387309959161,3.0625,0.014212744230177,1.9375
"37",0.0413962257866155,2.0625,-0.00600551930647353,2.1875
"38",0.133389388315546,1.75,-0.0215010308654164,1.3125
"39",0.016688304981654,1.625,0.0168651677453053,1.9375
"40",0.00954960130439664,2.5,-0.0156196504732011,2.625
"41",-0.00783765543594195,3.625,-0.0145218311866773,2.8125
"42",0.00242553058839312,4,0.0315058077204351,1
"43",-0.0399288577015529,2.25,0.0186420797933093,2.25
"44",-0.0894271415164554,3.875,-0.0147063810980987,2.9375
"45",-0.0759554869757593,2.8125,-0.0247896797630239,2.75
"46",-0.0131428137183324,2.75,0.00357466066869616,2.5625
"47",0.0109109085457314,2.5625,0.0141161350658284,2.625
"48",0.0619850731452952,2.4375,0.0359881795251573,1.5625
"49",-0.0196848783037915,3.1875,-0.000426975802059082,2.75
"50",-0.0151363160369471,3.5625,0.024832563447464,3.25
